pos,neg,tweet_count
0,1,1
1,1,2
1,2,3
1,2,4
2,2,5
2,2,6
2,3,7
2,3,8
2,4,9
2,4,10
3,4,11
3,5,12
4,5,13
5,5,14
5,6,15
6,6,16
6,7,17
6,7,18
7,7,19
7,7,20
7,8,21
7,8,22
7,9,23
7,9,24
8,9,25
8,10,26
9,10,27
10,10,28
10,11,29
11,11,30
11,12,31
11,12,32
12,12,33
12,12,34
12,13,35
12,13,36
12,14,37
12,14,38
13,14,39
13,15,40
14,15,41
15,15,42
15,16,43
16,16,44
16,17,45
16,17,46
17,17,47
17,17,48
17,18,49
17,18,50
17,19,51
17,19,52
18,19,53
18,20,54
19,20,55
20,20,56
20,21,57
21,21,58
21,22,59
21,22,60
22,22,61
22,22,62
22,23,63
22,23,64
22,24,65
22,24,66
23,24,67
23,25,68
24,25,69
25,25,70
